player_id,name,position,team_id
435559,Kurt Suzuki,C,108
448855,Junior Guerra,P,108
453265,Tony Watson,P,108
457708,Justin Upton,LF,108
501571,Juan Lagares,CF,108
502171,Alex Cobb,P,108
518553,Steve Cishek,P,108
543685,Anthony Rendon,3B,108
545358,Max Stassi,C,108
571760,Andrew Heaney,P,108
578428,Jose Iglesias,SS,108
592222,Alex Claudio,P,108
594577,Mike Mayers,P,108
594838,Phil Gosselin,3B,108
605164,Dylan Bundy,P,108
621493,Taylor Ward,RF,108
624586,James Hoyt,P,108
628452,Raisel Iglesias,P,108
642221,Kean Wong,2B,108
656288,Griffin Canning,P,108
660271,Shohei Ohtani,P,108
660761,Jose Suarez,P,108
663776,Patrick Sandoval,P,108
664058,David Fletcher,2B,108
665120,Jared Walsh,1B,108
669735,Chris Rodriguez,P,108
444482,David Peralta,LF,109
452678,Asdrubal Cabrera,3B,109
465657,Joakim Soria,P,109
488748,Ryan Buchter,P,109
500871,Eduardo Escobar,2B,109
502210,Josh Reddick,OF,109
518876,Merrill Kelly,P,109
519390,Stephen Vogt,C,109
528748,Humberto Castellanos,P,109
545121,Ildemaro Vargas,3B,109
572233,Christian Walker,1B,109
573009,Joe Mantiply,P,109
592233,Stefan Crichton,P,109
592761,Caleb Smith,P,109
605113,Nick Ahmed,SS,109
606466,Ketel Marte,CF,109
608348,Carson Kelly,C,109
622065,Alex Young,P,109
641541,Jon Duplantier,P,109
641796,Tim Locastro,CF,109
642092,Riley Smith,P,109
656464,Kevin Ginkel,P,109
656976,Pavin Smith,RF,109
664199,Taylor Clarke,P,109
668942,Josh Rojas,RF,109
676840,Matt Peacock,P,109
491624,Cesar Valdez,P,110
518774,Matt Harvey,P,110
520471,Freddy Galvis,SS,110
592644,Adam Plutko,P,110
592859,Stevie Wilkerson,2B,110
596748,Maikel Franco,3B,110
600474,Pedro Severino,C,110
605347,Jorge Lopez,P,110
621466,DJ Stewart,RF,110
622253,Dillon Tate,P,110
623993,Anthony Santander,RF,110
640451,Hunter Harvey,P,110
641820,Trey Mancini,1B,110
642121,Cole Sulser,P,110
642162,Pat Valaika,2B,110
642851,Austin Wynns,C,110
643316,Paul Fry,P,110
656775,Cedric Mullins,CF,110
656945,Tanner Scott,P,110
663624,Ryan Mountcastle,1B,110
663630,Ryan McKenna,CF,110
664042,Travis Lakins Sr.,P,110
669135,Mac Sceroler,P,110
669145,Bruce Zimmermann,P,110
669211,Keegan Akin,P,110
669330,Tyler Wells,P,110
493603,Adam Ottavino,P,111
502110,J.D. Martinez,LF,111
503556,Marwin Gonzalez,2B,111
519443,Brandon Workman,P,111
527048,Martin Perez,P,111
542454,Danny Santana,LF,111
542882,Matt Andriese,P,111
543135,Nathan Eovaldi,P,111
543877,Christian Vazquez,C,111
570488,Phillips Valdez,P,111
571771,Enrique Hernandez,CF,111
572070,Garrett Richards,P,111
592669,Hunter Renfroe,RF,111
593428,Xander Bogaerts,SS,111
593958,Eduardo Rodriguez,P,111
598264,Matt Barnes,P,111
601713,Nick Pivetta,P,111
608700,Kevin Plawecki,C,111
617228,Hirokazu Sawamura,P,111
624414,Christian Arroyo,2B,111
646240,Rafael Devers,3B,111
650382,Darwinzon Hernandez,P,111
657031,Josh Taylor,P,111
657077,Alex Verdugo,CF,111
666915,Bobby Dalbec,1B,111
676477,Garrett Whitlock,P,111
453562,Jake Arrieta,P,112
518792,Jason Heyward,RF,112
518886,Craig Kimbrel,P,112
519203,Anthony Rizzo,1B,112
519299,Eric Sogard,2B,112
542364,Rafael Ortega,RF,112
543294,Kyle Hendricks,P,112
545350,Jake Marisnick,CF,112
571521,Rex Brothers,P,112
572193,Ryan Tepera,P,112
575929,Willson Contreras,C,112
592178,Kris Bryant,LF,112
592626,Joc Pederson,LF,112
595465,Dan Winkler,P,112
595879,Javier Baez,SS,112
596027,Dillon Maples,P,112
