TeamID,SEASON,LeagueID,PLAYER,PLAYER_SLUG,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID
1610612764,2020,00,Bradley Beal,bradley-beal,3,G,6-3,207,"JUN 28, 1993",27.0,8,Florida,203078
1610612764,2020,00,Russell Westbrook,russell-westbrook,4,G,6-3,200,"NOV 12, 1988",32.0,12,UCLA,201566
1610612764,2020,00,Cassius Winston,cassius-winston,5,G,6-1,185,"FEB 28, 1998",23.0,R,Michigan State,1630216
1610612764,2020,00,Rui Hachimura,rui-hachimura,8,F,6-8,230,"FEB 08, 1998",23.0,1,Gonzaga,1629060
1610612764,2020,00,Deni Avdija,deni-avdija,9,F,6-9,210,"JAN 03, 2001",20.0,R,Maccabi Tel Aviv,1630166
1610612764,2020,00,Jerome Robinson,jerome-robinson,12,G,6-4,190,"FEB 22, 1997",24.0,2,Boston College,1629010
1610612764,2020,00,Daniel Gafford,daniel-gafford,12,F-C,6-10,234,"OCT 01, 1998",22.0,1,Arkansas,1629655
1610612764,2020,00,Thomas Bryant,thomas-bryant,13,C-F,6-10,248,"JUL 31, 1997",23.0,3,Indiana,1628418
1610612764,2020,00,Ish Smith,ish-smith,14,G,6-0,175,"JUL 05, 1988",32.0,10,Wake Forest,202397
1610612764,2020,00,Chandler Hutchison,chandler-hutchison,15,F-G,6-6,210,"APR 26, 1996",24.0,2,Boise State,1628990
1610612764,2020,00,Robin Lopez,robin-lopez,15,C,7-0,281,"APR 01, 1988",32.0,12,Stanford,201577
1610612764,2020,00,Anthony Gill,anthony-gill,16,F,6-7,230,"OCT 17, 1992",28.0,R,Virginia,1630264
1610612764,2020,00,Isaac Bonga,isaac-bonga,17,G,6-8,180,"NOV 08, 1999",21.0,2,Skyliners Frankfurt,1629067
1610612764,2020,00,Raul Neto,raul-neto,19,G,6-1,180,"MAY 19, 1992",28.0,5,Murcia,203526
1610612764,2020,00,Garrison Mathews,garrison-mathews,24,G,6-5,215,"OCT 24, 1996",24.0,1,Lipscomb,1629726
1610612764,2020,00,Alex Len,alex-len,27,C,7-0,250,"JUN 16, 1993",27.0,7,Maryland,203458
1610612764,2020,00,Davis Bertans,davis-bertans,42,F,6-10,225,"NOV 12, 1992",28.0,4,Baskonia,202722
